Unnamed: 0,brnpdb_id,common_name,smiles
869,8646,"Cyclohexanone, 2-methyl-5-(1-methylethenyl)-, (2R,5R)-",O=C1CC(C(=C)C)CCC1C
845,8371,"Naphthalene, 1,2,3,4,4a,7-hexahydro-1,6-dimethyl-4-(1-methylethyl)-, (1R,4S)-",C1=C2C(C=C(C)C1)C(CCC2C)C(C)C
269,2018,"5,7-dihydroxy-8,3-4-trimethoxyisoflavone",O=C2C1=C(O)C=C(O)C(OC)=C1OC=C2C3=CC(OC)=C(OC)C=C3
657,6560,"4H-1-Benzopyran-4-one, 3-[(6-deoxy-α-L-mannopyranosyl)oxy]-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-",O=C1C(OC2OC(C)C(O)C(O)C2O)=C(OC=3C=C(O)C=C(O)C13)C=4C=CC(O)=C(O)C4
303,2087,Physcion,COC3=CC(O)=C2C(C1=C(C(C2=C3)=O)C=C(C)C=C1O)=O
1016,9892,"Azulene, 1,2,3,4,5,6,7,8-octahydro-1,4-dimethyl-7-(1-methylethenyl)-, (1S,4S,7R)-",C=C(C)C1CC2=C(CCC2C)C(C)CC1
392,2483,"(2R,3S,3aS)-3a-allyl-5-methoxy-2-(3-methoxy-4,5-methylenedioxyphenyl)-3-methyl-2,3,3a,6-tetrahydro-6-oxobenzofuran",C(C=C)[C@]12C(=CC(=O)C(=C2)OC)O[C@H]([C@H]1C)c1cc2c(c(c1)OC)OCO2
305,2097,"Benzyl 2,6-dimethoxybenzoate",C(=O)(OCc1ccccc1)c1c(OC)cccc1OC
1031,10017,"Bicyclo[7.2.0]undec-4-ene, 4,11,11-trimethyl-8-methylene-, (1R,4E,9R)-",C=C1CCC=C(C)CCC2C1CC2(C)C
158,1496,"cadina-1,4-diene",C(C)(C)[C@H]1[C@H]2C(=CCC(=C2)C)[C@H](CC1)C
367,2419,Dehydronantenine,O(C)c1c2c3c(cc4c2cc2c(c4)OCO2)N(C)CCc3cc1OC
743,7209,"3-Buten-1-ol, 3-methyl-, 1-benzoate",O=C(OCCC(=C)C)C=1C=CC=CC1
950,3580,,C(CC(CC(=O)OC)C)C1C(C)(C)CCCC1(C)O
733,7137,"Bicyclo[7.2.0]undec-4-ene-4-methanol, 11,11-dimethyl-8-methylene-, (1R,4E,9S)-",OCC1=CCCC(=C)C2CC(C)(C)C2CC1
960,5536,,O=C1C=2C=CC=C(OC)C2C=3C=4OCOC4C(OC)=C5C3C1NCC5
564,5630,"1-Propanone, 1-(6-methoxy-1,3-benzodioxol-5-yl)-",O=C(C1=CC=2OCOC2C=C1OC)CC
828,8107,"5H-Benzo[g]-1,3-benzodioxolo[6,5,4-de]quinolin-10-ol, 4-methoxy-6,8-dihydro-8,8-dimethyl-",OC=1C=CC=2C3=C4OCOC4=C(OC)C5=C3C(=NCC5)C(C2C1)(C)C
674,6647,"Dibenzo[a,g]quinolizinium, 5,6-dihydro-2,3,9,10-tetramethoxy-",O(C=1C=CC2=CC=3C4=CC(OC)=C(OC)C=C4CC[N+]3C=C2C1OC)C
388,2479,"(2R,3S)-6-O-Allyl-5-methoxy-2-(3-methoxy-4,5-methylenedioxyphenyl)-3-methyl-2,3-dihydrobenzofuran",C[C@@H]1[C@@H](Oc2c1cc(c(c2)OCC=C)OC)c1cc2c(c(c1)OC)OCO2
72,934,1-methyl-4-methoxy-2-quinolone; 4-Methoxy-N-methylquinolone; N-methyl-4-methoxy-2-quinolone,CN2c1ccccc1C(OC)=CC2=O
954,3590,,C=C1[C@@H]2[C@H](C(C)(C)C2)C/C=C(/C)\[C@@H](O)CC1
335,2216,"(3R)-8-Hydroxy-6,7-dimethoxy-3,5-dimethyl-3,4-dihydroisocoumarin",Cc1c2c(c(c(c1OC)OC)O)C(=O)O[C@@H](C2)C
406,2626,,C[C@]12[C@H]3[C@]4(C[C@@H](CC3)C(=C)C4)CC[C@@H]1[C@@](C(=O)O)(C)CCC2
146,1417,γ-Elemene,C(=C)(C)[C@@H]1[C@](C=C)(C)CCC(=C(C)C)C1
634,6350,"2-Propanone, 1-(3,7,7-trimethylbicyclo[4.1.0]hept-3-en-2-yl)-",O=C(C)CC1C(=CCC2C1C2(C)C)C
426,2706,"Icacinic acid; 2α,3α,19α,23,24-penta-hydroxy-olean-12- en-28-oic acid",C[C@]12[C@H](C(CO)(CO)[C@H](O)[C@H](O)C2)CC[C@]2(C)[C@@H]1CC=C1[C@@]2(C)CC[C@]2(C(=O)O)[C@H]1[C@H](O)C(C)(C)CC2
611,6123,"Bicyclo[2.2.1]heptan-2-ol, 1,3,3-trimethyl-, (1R,2S,4S)-rel-",OC1C(C)(C)C2CCC1(C)C2
461,3135,Hodgkinsine,CN1[C@@H]2[C@@](c3c(N2)c(ccc3)[C@@]23c4c(N[C@@H]2N(C)CC3)cccc4)(CC1)[C@]12c3c(N[C@H]1N(C)CC2)cccc3
875,8697,"4H-1-Benzopyran-4-one, 2,3-dihydro-5,7-dihydroxy-2-(4-hydroxyphenyl)-, (2S)-",O=C1C=2C(O)=CC(O)=CC2OC(C3=CC=C(O)C=C3)C1
580,5784,"Cyclohexanemethanol, 4-ethenyl-α,α,4-trimethyl-3-(1-methylethenyl)-, (1R,3S,4S)-",OC(C)(C)C1CCC(C=C)(C)C(C(=C)C)C1
540,5396,"Cyclohexene, 4-(1,5-dimethyl-5-hexen-1-ylidene)-1-methyl-, (4E)-",C=C(C)CCCC(=C1CC=C(C)CC1)C
1010,9844,"Naphthalene, 1,2,4a,5,6,8a-hexahydro-4,7-dimethyl-1-(1-methylethyl)-, (1R,4aS,8aR)-",C1=C(C)C2CCC(=CC2C(C1)C(C)C)C
588,5815,"Spiro[2,5-cyclohexadiene-1,7′(1′H)-cyclopent[ij]isoquinolin]-4-one, 2′,3′,8′,8′a-tetrahydro-6′-hydroxy-5′-methoxy-1′-methyl-",O=C1C=CC2(C=C1)C=3C(O)=C(OC)C=C4C3C(N(C)CC4)C2
346,2284,"(2S,3S,3aR,5R)-3a-Allyl-5,7-dimethoxy-2-(3,4-methylene-dioxyphenyl)-3-methyl-2,3,3a,4,5,6-hexahydro-6-oxo-benzofuran",C(C=C)[C@]12C(=C(OC)C(=O)[C@@H](C2)OC)O[C@@H]([C@H]1C)c1cc2c(cc1)OCO2
549,5490,"5H-1-Benzopyran-5-one, 2,3,4,6,7,8-hexahydro-8-hydroxy-2-[(1S)-1-hydroxyheptyl]-, (2S,8R)-",O=C1C2=C(OC(CC2)C(O)CCCCCC)C(O)CC1
768,7475,"2-Pentenoic acid, 5-[6-(acetyloxy)decahydro-5,5,8a-trimethyl-2-methylene-1-naphthalenyl]-3-methyl-, [1R-[1α(E),4aβ,6α,8aα]]-",O=C(O)C=C(C)CCC1C(=C)CCC2C(C)(C)C(OC(=O)C)CCC12C
150,1463,hortiolide C,C[C@]16[C@@]2([C@@]5(C)C(O6)=CC([C@](C)(C)[C@@H]5CC(OC)=O)=O)[C@@]31[C@](C)([C@H]([c@]4cocc4)OC([C@@H]3O)=O)C[C@H]2[H]
484,3575,(-)-hardwickiic acid methyl ester,C[C@@]12[C@@H]([C@](CCc3ccoc3)(C)[C@H](C)CC2)CCC=C1C(=O)OC
307,2099,Ferrearin-B,C(C=C)[C@@]12[C@](O)(O[C@H]([C@H]1C)c1cc3c(cc1)OCO3)C(=O)C=CC2
737,7159,"2H-Indol-2-one, 3-[1,2-dihydro-5-(1H-indol-3-yl)-2-oxo-3H-pyrrol-3-ylidene]-1,3-dihydro-, (3E)-",O=C1NC(=CC1=C2C(=O)NC=3C=CC=CC32)C4=CNC=5C=CC=CC54
214,1781,tetrahydroiangonin,C(Cc1ccc(cc1)OC)[C@H]1CC(=CC(=O)O1)OC
784,7636,"1H-3a,7-Methanoazulene, 2,3,6,7,8,8a-hexahydro-1,4,9,9-tetramethyl-, (1R,3aS,7S,8aR)-rel-",C1=C(C)C23CCC(C)C3CC(C1)C2(C)C
927,9215,"9-Hexadecenoic acid, (9Z)-",O=C(O)CCCCCCCC=CCCCCCC
639,6397,"1H-Cyclopenta[1,3]cyclopropa[1,2]benzene, octahydro-7-methyl-3-methylene-4-(1-methylethyl)-, (3aS,3bR,4S,7R,7aR)-",C=C1CCC23C(C)CCC(C(C)C)C3C12
914,9087,"2-Propen-1-ol, 3-phenyl-, 1-acetate, (2E)-",O=C(OCC=CC=1C=CC=CC1)C
961,9377,"Tricyclo[4.4.0.02,7]dec-3-ene, 1,3-dimethyl-8-(1-methylethyl)-, (1S,2R,6R,7R,8S)-",C1=C(C)C2C3C(CCC2(C)C3C1)C(C)C
245,1923,δ-Cadinene,C[C@@H]([C@H]1[C@@]2([H])C(CCC(C)=C2)=C(C)CC1)C
