Unnamed: 0,brnpdb_id,common_name,smiles
220,1813,"3,5-dimethoxy-4-prenylstilbene",C/C(C)=C/CC1=C(OC)C=C(/C=C/C2=CC=CC=C2)C=C1OC
222,1825,(2S)-5-hydroxy-7-methoxy-6-prenylflavanone,O=C(C3)C1=C(O)C(CC=C(C)C)=C(OC)C=C1O[C@]3(C)[C@@]2=CC=CC=C2
274,2026,Camphor,CC1(C(C)2C)CCC2CC1=O
354,2342,"(2S,3S)-7-allyl-6-hydroxy-5-methoxy-2-(3-methoxy-4,5-methylenedioxyphenyl)-3-methyl-2,3-dihydrobenzofuran",COC1=C(OCO2)C2=CC([C@H]3OC4=C(CC=C)C(O)=C(OC)C=C4[C@@H]3C)=C1
838,8298,"2-Naphthalenemethanol, 1,2,3,4,4a,5,6,8a-octahydro-α,α,4a,8-tetramethyl-, (2R,4aR,8aR)-",OC(C)(C)C1CCC2(C)CCC=C(C)C2C1
493,3644,"1,3,5-trimethoxybenzene",O(C)c1cc(OC)cc(OC)c1
185,1634,Olivacine,Cc1c2c(c3c([nH]2)cccc3)cc2c1ccnc2C
496,3873,α-bisabolene,C(=CCC=C(C)C)(C)C1CCC(=CC1)C
368,2420,(+)-Nantenine,O(C)c1c2c3[C@H](Cc4c2cc2c(c4)OCO2)N(C)CCc3cc1OC
747,7236,"2H-Pyran, 2-ethenyltetrahydro-2,6,6-trimethyl-",O1C(C=C)(C)CCCC1(C)C
693,6827,"Azulene, 1,2,3,5,6,7,8,8a-octahydro-1,4-dimethyl-7-(1-methylethenyl)-, (1S,7R,8aS)-",C=C(C)C1CCC(=C2CCC(C)C2C1)C
1027,9977,"7,12a-Methano-2H,4H-pyrano[4,3-b][1]benzoxocin-8-acetic acid, 4-(3-furanyl)dodecahydro-4a,7a,9,9-tetramethyl-13-methylene-2,10-dioxo-, methyl ester, (4S,4aS,7R,7aR,8R,11aS,12aS)-",O=C(OC)CC1C(C(=O)CC2OC34C(=C)C(CCC4(C)C(OC(=O)C3)C5=COC=C5)C21C)(C)C
529,5266,"5,8,11,14,17-Eicosapentaenoic acid, (5Z,8Z,11Z,14Z,17Z)-",O=C(O)CCCC=CCC=CCC=CCC=CCC=CCC
399,2516,N,C[C@@H]1C2=C[C@](C(=O)C=C2O[C@H]1Cc1cc2c(cc1)OCO2)(CC=C)OC
868,8640,"1H-Cycloprop[e]azulen-7-ol, decahydro-1,1,7-trimethyl-4-methylene-, (1aS,4aS,7R,7aS,7bS)-",OC1(C)CCC2C(=C)CCC3C(C21)C3(C)C
414,2654,α-copaene,C[C@]12[C@H]3[C@H]([C@@H]1CC=C3C)[C@H](C(C)C)CC2
228,1834,"(2S,3S,5R)-5-allyl-5-methoxy-2-(3,4,5-trimethoxyphenyl)-3-methyl-2,3,5,6-tetrahydro-6-oxobenzofuran",C[C@H]1C2=C[C@@](C(=O)C=C2O[C@@H]1c1cc(OC)c(c(c1)OC)OC)(CC=C)OC
