Unnamed: 0,brnpdb_id,common_name,smiles
532,5292,"2-Pentenoic acid, 5-[(1S,4aS,8aS)-decahydro-5,5,8a-trimethyl-2-methylene-1-naphthalenyl]-3-methyl-, (2E)-",O=C(O)C=C(C)CCC1C(=C)CCC2C(C)(C)CCCC12C
894,8858,"2-Naphthalenemethanol, 1,2,3,4,6,7,8,8a-octahydro-α,α,8,8a-tetramethyl-, (2R,8S,8aR)-",OC(C)(C)C1CCC2=CCCC(C)C2(C)C1
664,6607,Cyclopentanetridecanoic acid,O=C(O)CCCCCCCCCCCCC1CCCC1
708,6971,"2H,11H-Pyrano[4′,3′:1,5]cyclopenta[1,2-c][1]benzopyran-4-acetic acid, 7-(3-furanyl)-3,4,4a,6,6a,7,9,10-octahydro-10,11-dihydroxy-3,3,4a,6a,11-pentamethyl-2,9-dioxo-, methyl ester, (4R,4aS,6aR,7R,10R,10aR,11S)-",O=C(OC)CC1C2(C(OC(O)(C)C34C2=CCC4(C)C(OC(=O)C3O)C5=COC=C5)=CC(=O)C1(C)C)C
32,195,Protocatechuic acid,OC(C1=CC(O)=C(O)C=C1)=O
468,3278,nerolidol,C(=C(CCC=C(C)C)C)CCC(C=C)(C)O
595,5952,"2H-Benzofuro[2,3-f][2]benzopyran-7-acetic acid, 4-(3-furanyl)-4,4a,5,6b,7,8,9,11a-octahydro-5-hydroxy-4a,6b,8,8,11a-pentamethyl-2,9-dioxo-, methyl ester, (4S,4aS,5S,6bS,7R,11aS)-",O=C1OC(C2=COC=C2)C3(C(=C1)C4(OC5=CC(=O)C(C)(C)C(CC(=O)OC)C5(C4=CC3O)C)C)C
91,1066,Rutaecarpine,O=C2C1=CC=CC=C1N=C3N2CCC4=C3NC5=C4C=CC=C5
22,120,Kaempferol,OC3=CC=C(C=C3)C2=C(O)C(C1=C(O)C=C(O)C=C1O2)=O
881,8734,"[4,8′-Bi-2H-1-benzopyran]-3,3′,5,5′,7,7′-hexol, 2,2′-bis(3,4-dihydroxyphenyl)-3,3′,4,4′-tetrahydro-, (2R,2′R,3R,3′R,4R)-",OC=1C=C(O)C2=C(OC(C3=CC=C(O)C(O)=C3)C(O)C2C=4C(O)=CC(O)=C5C4OC(C6=CC=C(O)C(O)=C6)C(O)C5)C1
321,2176,"2-Hydroxy-4,5-dimethoxyallylbenzene",O(C)c1c(OC)cc(c(c1)CC=C)O
652,6523,"4H-1-Benzopyran-4-one, 6-β-D-glucopyranosyl-5,7-dihydroxy-2-(4-hydroxyphenyl)-",O=C1C=C(OC2=CC(O)=C(C(O)=C12)C3OC(CO)C(O)C(O)C3O)C=4C=CC(O)=CC4
698,6859,"Cyclohexane, 1-ethenyl-1-methyl-2,4-bis(1-methylethenyl)-, (1R,2R,4S)-rel-",C=CC1(C)CCC(C(=C)C)CC1C(=C)C
