Unnamed: 0,brnpdb_id,common_name,smiles
635,6353,"4H-1-Benzopyran-4-one, 5,7-dihydroxy-2-(4-hydroxyphenyl)-3-[[6-O-[3-(4-hydroxyphenyl)-1-oxo-2-propen-1-yl]-β-D-galactopyranosyl]oxy]-",O=C(OCC1OC(OC=2C(=O)C=3C(O)=CC(O)=CC3OC2C=4C=CC(O)=CC4)C(O)C(O)C1O)C=CC5=CC=C(O)C=C5
807,7858,"1H-Cycloprop[e]azulen-4-ol, decahydro-1,1,4,7-tetramethyl-, (1aR,4S,4aS,7R,7aS,7bS)-",OC1(C)CCC2C(C3C(C)CCC31)C2(C)C
851,8453,"4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-2,3-dihydro-3,5,7-trihydroxy-, (2R,3R)-",O=C1C=2C(O)=CC(O)=CC2OC(C3=CC=C(O)C(O)=C3)C1O
431,2734,,C(CCCCCCCCCCC)CCCCC(=O)O
311,2103,N,O(C)[C@@]12[C@H]([C@@H]([C@](C1O)(CC=C)C=C(C2=O)OC)C)c1cc2c(c(c1)OC)OCO2
163,1539,β-elemene,C(=C)(C)[C@H]1[C@@](C=C)(C)CC[C@H](C1)C(=C)C
735,7150,"9,12-Octadecadienoic acid (9Z,12Z)-",O=C(O)CCCCCCCC=CCC=CCCCCC
1001,9711,"Spiro[naphth[2,1-c]oxireno[d]pyran-6(3H),3′(6′H)-[2H]pyran]-1,6′(10aH)-dione, 4′-(acetyloxy)-3-(3-furanyl)decahydro-9-hydroxy-7-(1-hydroxy-1-methylethyl)-3a,9a-dimethyl-, (3R,3′S,3aR,4′R,5aS,7S,9S,9aR,9bS,10aR)-rel-(-)-",O=C(OC1CC(=O)OCC12C(CC(O)C3(C)C2CCC4(C)C(OC(=O)C5OC543)C6=COC=C6)C(O)(C)C)C
721,7039,"3H-3a,6-Methanoazulen-3-one, octahydro-7,7-dimethyl-8-methylene-, (3aR,6R,8aR)-",O=C1CCC2C(=C)C(C)(C)C3CCC12C3
708,6971,"2H,11H-Pyrano[4′,3′:1,5]cyclopenta[1,2-c][1]benzopyran-4-acetic acid, 7-(3-furanyl)-3,4,4a,6,6a,7,9,10-octahydro-10,11-dihydroxy-3,3,4a,6a,11-pentamethyl-2,9-dioxo-, methyl ester, (4R,4aS,6aR,7R,10R,10aR,11S)-",O=C(OC)CC1C2(C(OC(O)(C)C34C2=CCC4(C)C(OC(=O)C3O)C5=COC=C5)=CC(=O)C1(C)C)C
216,1783,anibine,COC(C=C(c2cnccc2)O1)=CC1=O
59,564,"Luteolin; 2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4H-chromen-4-one",OC1=CC(O)=C(C(C=C(C3=CC(O)=C(O)C=C3)O2)=O)C2=C1
499,3958,Dihydropiplartine,O(C)c1c(OC)c(OC)cc(/C=C/C(=O)N2C(=O)CCCC2)c1
